Feature,Description
Customer addresses,"Billing and delivery address management (V1 legacy + V2 with Apple Pay/GPay source tracking)"
Privacy policy consent,Versioned opt-in/opt-out per customer + store type
Marketing consent,"GDPR-compliant consent tracking with versioning, IP hashing, regional defaults"
Customer feedback & ratings,Post-purchase product and experience ratings
Boarding pass scanning,Airport retail customer identification (DDF)
Retailer-specific customer profiles,"Per-retailer data: loyalty cards, tax IDs, nationality, user groups"
Transaction tokens,Short-lived (10-minute) UUID tokens for securing sensitive operations
Coffee subscription,Recurring Stripe payment granting daily free items at participating stores
Daily usage limits,Per-item quantity enforcement per subscription
Subscription lifecycle,Trial → Active → Cancelled → Expired states
Stripe billing portal,Self-service subscription management
Stripe webhook processing,Automated subscription state transitions
Product catalog service,Canonical catalog in Node.js/MongoDB Inventory Service
44+ retailer import integrations,"LS Retail (SOAP), Shopify, Odoo, Dynamics 365, WooCommerce, and 40+ more"
Delta and full imports,Incremental updates or complete catalog replacement
Chunked bulk uploads,Large catalogs imported in 50K-row batches
Category hierarchies,Up to 3 levels of nested product categories
Addon groups,"Configurable item add-ons (food customization, accessories)"
Reduce to Clear barcodes,Avery Dennison markdown barcode parsing with Luhn checksum
Legacy monolith inventory,PostgreSQL-based ItemInventory for retailers not yet migrated
Barcode checksum validation,UPC-A and EAN check digit calculation
Web-based staff portal,"Order management, refund processing, inventory operations"
Dashboard user management,"Bulk user creation, token-based invitations, role-based permissions"
Store-level access control,Staff permissions scoped to specific stores
Order lookup & management,"Search, view, and manage orders"
Dashboard refund processing,Initiate partial/full refunds with reason tracking
Manual item verification,Staff-initiated bag checks and item counts
Settlement reconciliation,Financial reports comparing gateway vs internal data
LLM-powered chat,AI assistant for dashboard queries
Cashier kiosk shift management,Android POS device shift tracking
Cash-in-drawer tracking,"Start/end amounts, denomination breakup validation"
Bank drop recording,Cash removed from till during shifts
Shift summary reports,Daily per-device per-staff activity summaries
PIN/password recovery,Staff credential recovery flows
Event-sourced analytics,Subject-Verb-Object model capturing every user action
18 analytics models,"Product, order, payment, login, signup, feedback, refund, app open events"
V1 + V2 dashboard APIs,Raw event queries and pre-aggregated daily summaries
Aggregated analytics,Pre-computed daily per-store/platform summaries for performance
Mixpanel integration,15 event types pushed to Mixpanel
Legacy analytics,"AppEvents, SalesSummary, Notifications models"
Order Excel reports,Scheduled daily reports for Saturn and Decathlon
Rating analytics,Product and experience rating aggregation
100+ store type implementations,Each retailer gets custom behaviour via StoreType dispatch
Agent pattern,"Retailer-specific item lookup, sold-status tracking, inventory management"
Per-retailer configuration,49+ retailer configuration directories with payment product and email settings
RetailerSystemConfiguration,V1 (dict-based) and V2 (model-based) config wrappers
RFID/SecureItem tracking,Anti-theft tag management via Redis and MQTT
Pfand (bottle deposit),German deposit handling for Saturn Smart Pay
STEB receipts,Saudi Tax and Excise Board duty-free bag tracking (DDF)
DDF price activation,RPM price file ingestion and staff-mediated price updates
Italy fiscalisation (Venistar/Retail Pro),Polling-based fiscalisation for Lotteria degli Scontrini and itemised tax reporting
Greece fiscalisation (AADE myDATA),Callback-based fiscalisation for obtaining tax mark IDs from the Greek tax authority
Per-store-type/region fiscalisation permissions,Fiscalisation enabled per retailer and region
Fiscal alert emails,Notifications on fiscalisation failures
Azure VMSS deployment,Monolith on Virtual Machine Scale Sets with HAProxy zero-downtime deploys
Kubernetes deployment,Promotions service via Helm charts
Ansible configuration management,Molecule-tested playbooks for server provisioning
Kafka event streaming,"6 topics, 3 consumer daemons via Confluent Cloud"
Dramatiq background jobs,"RabbitMQ-backed async task processing (refunds, HTTP calls, POS logs)"
Datadog + Sentry monitoring,"APM, error tracking, real-time log output"
Kong API Gateway,"JWT validation, request routing, header injection"
Nginx + Gunicorn,Web server configuration
35+ production cron jobs,"Scheduled tasks for reports, cleanup, sync"
Easy store creation,"Self-service store provisioning with template cloning, CSV bulk upload, Bitly campaign URL generation"
Admin actions framework,Django admin-based operational tooling with audit logging
Shopping list,Customer shopping lists with dual v1/v2 architecture and collaborative list sharing
Django-cron scheduled jobs,Daily order reports and analytics emails
gRPC tax service,"Tax evaluation, tax table management, tax-inclusive/exclusive pricing"
Pub/sub messaging,6 Kafka producer adapters for business events
